SBER RX Equity,,,AAL UW Equity,,,TSLA UW Equity,
Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST
5/29/15,73.5,,5/27/15,42.24,,5/27/15,247.43
6/1/15,72.65,,5/28/15,41.97,,5/28/15,251.45
6/2/15,73.92,,5/29/15,42.37,,5/29/15,250.8
6/3/15,71.72,,6/1/15,44.18,,6/1/15,249.45
6/4/15,71.25,,6/2/15,43.775,,6/2/15,248.35
6/5/15,70.61,,6/3/15,43.13,,6/3/15,248.99
6/8/15,69.17,,6/4/15,42.17,,6/4/15,245.92
6/9/15,70.21,,6/5/15,41.72,,6/5/15,249.14
6/10/15,71.51,,6/8/15,39.86,,6/8/15,256.29
6/11/15,72.55,,6/9/15,40.325,,6/9/15,256
6/15/15,71.8,,6/10/15,40.43,,6/10/15,250.7
6/16/15,73.5,,6/11/15,40.02,,6/11/15,251.41
6/17/15,72.81,,6/12/15,40.705,,6/12/15,250.69
6/18/15,72.98,,6/15/15,40.07,,6/15/15,250.38
6/19/15,71.56,,6/16/15,39.48,,6/16/15,253.12
6/22/15,72,,6/17/15,39.88,,6/17/15,260.41
6/23/15,72.01,,6/18/15,39.975,,6/18/15,261.89
6/24/15,71.98,,6/19/15,41.56,,6/19/15,262.51
6/25/15,71.42,,6/22/15,43.03,,6/22/15,259.79
6/26/15,70.6,,6/23/15,42.725,,6/23/15,267.67
6/29/15,70.2,,6/24/15,42.24,,6/24/15,265.17
6/30/15,72.35,,6/25/15,42.24,,6/25/15,268.79
7/1/15,71,,6/26/15,41.44,,6/26/15,267.09
7/2/15,70.54,,6/29/15,39.75,,6/29/15,262.02
7/3/15,70.67,,6/30/15,39.935,,6/30/15,268.26
7/6/15,68.45,,7/1/15,38.8,,7/1/15,269.15
7/7/15,68.77,,7/2/15,39.03,,7/2/15,280.02
7/8/15,67.73,,7/6/15,39.73,,7/6/15,279.72
7/9/15,69.35,,7/7/15,40.675,,7/7/15,267.88
7/10/15,71.06,,7/8/15,39.31,,7/8/15,254.96
7/13/15,72.94,,7/9/15,39.67,,7/9/15,257.92
7/14/15,73.9,,7/10/15,41.21,,7/10/15,259.15
7/15/15,74,,7/13/15,42.42,,7/13/15,262.16
7/16/15,74.21,,7/14/15,42.06,,7/14/15,265.65
7/17/15,75.52,,7/15/15,41.54,,7/15/15,263.14
7/20/15,74.1,,7/16/15,41.39,,7/16/15,266.68
7/21/15,75.55,,7/17/15,41.4,,7/17/15,274.66
7/22/15,74.6,,7/20/15,40.55,,7/20/15,282.26
7/23/15,72.7,,7/21/15,40.9,,7/21/15,266.77
7/24/15,70.45,,7/22/15,41.43,,7/22/15,267.87
7/27/15,68.48,,7/23/15,42.61,,7/23/15,267.2
7/28/15,69.55,,7/24/15,39.63,,7/24/15,265.41
7/29/15,71.2,,7/27/15,40.14,,7/27/15,253.01
7/30/15,72.2,,7/28/15,41.17,,7/28/15,264.82
7/31/15,72.3,,7/29/15,40.73,,7/29/15,263.82
8/3/15,71.1,,7/30/15,40.27,,7/30/15,266.79
8/4/15,72.3,,7/31/15,40.1,,7/31/15,266.15
8/5/15,73.49,,8/3/15,41.71,,8/3/15,259.99
8/6/15,72.25,,8/4/15,42.74,,8/4/15,266.28
8/7/15,74.2,,8/5/15,42.96,,8/5/15,270.13
8/10/15,75.16,,8/6/15,42.18,,8/6/15,246.13
8/11/15,73.2,,8/7/15,41.49,,8/7/15,242.51
8/12/15,73.4,,8/10/15,41.68,,8/10/15,241.14
8/13/15,73.7,,8/11/15,42.7,,8/11/15,237.37
8/14/15,74.43,,8/12/15,42.52,,8/12/15,238.17
8/17/15,73,,8/13/15,42.67,,8/13/15,242.51
8/18/15,72.45,,8/14/15,42.88,,8/14/15,243.15
8/19/15,71.5,,8/17/15,43.95,,8/17/15,254.99
8/20/15,72.05,,8/18/15,43.63,,8/18/15,260.72
8/21/15,69.86,,8/19/15,43.53,,8/19/15,255.25
8/24/15,68.53,,8/20/15,41.98,,8/20/15,242.18
8/25/15,70.79,,8/21/15,39.75,,8/21/15,230.77
8/26/15,71,,8/24/15,37.62,,8/24/15,218.87
8/27/15,73.8,,8/25/15,37.5,,8/25/15,220.03
8/28/15,74.82,,8/26/15,38.85,,8/26/15,224.84
8/31/15,74.5,,8/27/15,39.03,,8/27/15,242.99
9/1/15,73.14,,8/28/15,38.62,,8/28/15,248.48
9/2/15,72.9,,8/31/15,38.98,,8/31/15,249.06
9/3/15,74.15,,9/1/15,39.2,,9/1/15,238.63
9/4/15,73.96,,9/2/15,41.51,,9/2/15,247.69
9/7/15,73.81,,9/3/15,40.89,,9/3/15,245.57
9/8/15,74.9,,9/4/15,40.6,,9/4/15,241.93
9/9/15,74.65,,9/8/15,40.8,,9/8/15,248.17
9/10/15,74.3,,9/9/15,41,,9/9/15,248.91
9/11/15,74.1,,9/10/15,41.21,,9/10/15,248.48
9/14/15,74.88,,9/11/15,42.15,,9/11/15,250.24
9/15/15,74.85,,9/14/15,42.29,,9/14/15,253.19
9/16/15,77.71,,9/15/15,42.64,,9/15/15,253.57
9/17/15,76.49,,9/16/15,43.06,,9/16/15,262.25
9/18/15,75.5,,9/17/15,43.99,,9/17/15,262.07
9/21/15,75.94,,9/18/15,43.49,,9/18/15,260.62
9/22/15,74.39,,9/21/15,43.23,,9/21/15,264.2
9/23/15,73.74,,9/22/15,41.19,,9/22/15,260.94
9/24/15,73.33,,9/23/15,41.24,,9/23/15,261.06
9/25/15,74.97,,9/24/15,40.25,,9/24/15,263.12
9/28/15,74.57,,9/25/15,40.24,,9/25/15,256.91
9/29/15,75.5,,9/28/15,39.08,,9/28/15,248.43
9/30/15,75.3,,9/29/15,39.18,,9/29/15,246.65
10/1/15,74.51,,9/30/15,38.83,,9/30/15,248.4
10/2/15,73.8,,10/1/15,39.2,,10/1/15,239.88
10/5/15,76.2,,10/2/15,38.63,,10/2/15,247.57
10/6/15,77.31,,10/5/15,40.19,,10/5/15,246.15
10/7/15,79.65,,10/6/15,38.13,,10/6/15,241.46
10/8/15,83.11,,10/7/15,39.31,,10/7/15,231.96
10/9/15,85.77,,10/8/15,39.74,,10/8/15,226.72
10/12/15,85.45,,10/9/15,42.42,,10/9/15,220.69
10/13/15,85,,10/12/15,43.84,,10/12/15,215.58
10/14/15,86.81,,10/13/15,43.41,,10/13/15,219.25
10/15/15,87.7,,10/14/15,43.8,,10/14/15,216.88
